x,y,euler1,euler2,euler3,phase
1,1,0,9,0,olivine
1,1,0,9,27,olivine
1,1,0,9,54,olivine
1,1,0,9,81,olivine
1,1,0,9,108,olivine
1,1,0,9,135,olivine
1,1,0,9,162,olivine
2,1,0,36,0,olivine
2,1,0,36,27,olivine
2,1,0,36,54,olivine
2,1,0,36,81,olivine
2,1,0,36,108,olivine
2,1,0,36,135,olivine
2,1,0,36,162,olivine
3,1,0,63,0,olivine
3,1,0,63,27,olivine
3,1,0,63,54,olivine
3,1,0,63,81,olivine
3,1,0,63,108,olivine
3,1,0,63,135,olivine
3,1,0,63,162,olivine
4,1,0,90,0,olivine
4,1,0,90,27,olivine
4,1,0,90,54,olivine
4,1,0,90,81,olivine
4,1,0,90,108,olivine
4,1,0,90,135,olivine
4,1,0,90,162,olivine
5,1,27,9,0,olivine
5,1,27,9,27,olivine
5,1,27,9,54,olivine
5,1,27,9,81,olivine
5,1,27,9,108,olivine
5,1,27,9,135,olivine
5,1,27,9,162,olivine
6,1,27,36,0,olivine
6,1,27,36,27,olivine
6,1,27,36,54,olivine
6,1,27,36,81,olivine
6,1,27,36,108,olivine
6,1,27,36,135,olivine
6,1,27,36,162,olivine
7,1,27,63,0,olivine
7,1,27,63,27,olivine
7,1,27,63,54,olivine
7,1,27,63,81,olivine
7,1,27,63,108,olivine
7,1,27,63,135,olivine
7,1,27,63,162,olivine
8,1,27,90,0,olivine
8,1,27,90,27,olivine
8,1,27,90,54,olivine
8,1,27,90,81,olivine
8,1,27,90,108,olivine
8,1,27,90,135,olivine
8,1,27,90,162,olivine
9,1,54,9,0,olivine
9,1,54,9,27,olivine
9,1,54,9,54,olivine
9,1,54,9,81,olivine
9,1,54,9,108,olivine
9,1,54,9,135,olivine
9,1,54,9,162,olivine
10,1,54,36,0,olivine
10,1,54,36,27,olivine
10,1,54,36,54,olivine
10,1,54,36,81,olivine
10,1,54,36,108,olivine
10,1,54,36,135,olivine
10,1,54,36,162,olivine
11,1,54,63,0,olivine
11,1,54,63,27,olivine
11,1,54,63,54,olivine
11,1,54,63,81,olivine
11,1,54,63,108,olivine
11,1,54,63,135,olivine
11,1,54,63,162,olivine
12,1,54,90,0,olivine
12,1,54,90,27,olivine
12,1,54,90,54,olivine
12,1,54,90,81,olivine
12,1,54,90,108,olivine
12,1,54,90,135,olivine
12,1,54,90,162,olivine
13,1,81,9,0,olivine
13,1,81,9,27,olivine
13,1,81,9,54,olivine
13,1,81,9,81,olivine
13,1,81,9,108,olivine
13,1,81,9,135,olivine
13,1,81,9,162,olivine
14,1,81,36,0,olivine
14,1,81,36,27,olivine
14,1,81,36,54,olivine
14,1,81,36,81,olivine
14,1,81,36,108,olivine
14,1,81,36,135,olivine
14,1,81,36,162,olivine
15,1,81,63,0,olivine
15,1,81,63,27,olivine
15,1,81,63,54,olivine
15,1,81,63,81,olivine
15,1,81,63,108,olivine
15,1,81,63,135,olivine
15,1,81,63,162,olivine
16,1,81,90,0,olivine
16,1,81,90,27,olivine
16,1,81,90,54,olivine
16,1,81,90,81,olivine
16,1,81,90,108,olivine
16,1,81,90,135,olivine
16,1,81,90,162,olivine
